Type,Class,Gene,Location,Mean,SD
MGE,replication/recombination/repair,replication/recombination/repair-parB,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-parB_3,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-parB_3,Punta Espinoza,7.24E-06,1.69E-05
MGE,replication/recombination/repair,replication/recombination/repair-parB_3,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-parC,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-parC,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-parC,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-parE,Cabo Douglas,5.01E-05,3.31E-05
MGE,replication/recombination/repair,replication/recombination/repair-parE,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-parE,Rabida,3.16E-05,3.38E-05
MGE,replication/recombination/repair,replication/recombination/repair-parM,Cabo Douglas,3.89E-05,3.68E-05
MGE,replication/recombination/repair,replication/recombination/repair-parM,Punta Espinoza,3.20E-05,2.92E-05
MGE,replication/recombination/repair,replication/recombination/repair-parM,Rabida,1.81E-05,3.36E-05
MGE,replication/recombination/repair,replication/recombination/repair-parM_1,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-parM_1,Punta Espinoza,5.56E-06,1.93E-05
MGE,replication/recombination/repair,replication/recombination/repair-parM_1,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-parM_4,Cabo Douglas,5.73E-06,1.99E-05
MGE,replication/recombination/repair,replication/recombination/repair-parM_4,Punta Espinoza,3.70E-06,1.28E-05
MGE,replication/recombination/repair,replication/recombination/repair-parM_4,Rabida,8.51E-06,2.41E-05
MGE,replication/recombination/repair,replication/recombination/repair-pcrA,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-pcrA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-pcrA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-pcrA_2,Cabo Douglas,4.89E-05,3.19E-05
MGE,replication/recombination/repair,replication/recombination/repair-pcrA_2,Punta Espinoza,4.86E-05,2.46E-05
MGE,replication/recombination/repair,replication/recombination/repair-pcrA_2,Rabida,5.41E-05,2.24E-05
MGE,replication/recombination/repair,replication/recombination/repair-pi360,Cabo Douglas,5.73E-06,1.99E-05
MGE,replication/recombination/repair,replication/recombination/repair-pi360,Punta Espinoza,8.23E-06,1.93E-05
MGE,replication/recombination/repair,replication/recombination/repair-pi360,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-pifC,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-pifC,Punta Espinoza,1.47E-05,2.69E-05
MGE,replication/recombination/repair,replication/recombination/repair-pifC,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-pinR_3,Cabo Douglas,2.04E-05,3.16E-05
MGE,replication/recombination/repair,replication/recombination/repair-pinR_3,Punta Espinoza,3.82E-05,2.94E-05
MGE,replication/recombination/repair,replication/recombination/repair-pinR_3,Rabida,2.31E-05,3.21E-05
MGE,replication/recombination/repair,replication/recombination/repair-polA,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-polA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-polA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-PolA,Cabo Douglas,5.89E-05,2.29E-05
MGE,replication/recombination/repair,replication/recombination/repair-PolA,Punta Espinoza,4.94E-05,2.46E-05
MGE,replication/recombination/repair,replication/recombination/repair-PolA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-polA_2,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-polA_2,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-polA_2,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-polB,Cabo Douglas,5.03E-05,3.31E-05
MGE,replication/recombination/repair,replication/recombination/repair-polB,Punta Espinoza,4.71E-05,2.35E-05
MGE,replication/recombination/repair,replication/recombination/repair-polB,Rabida,2.39E-05,3.31E-05
MGE,replication/recombination/repair,replication/recombination/repair-polC,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-polC,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-polC,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-polC_1,Cabo Douglas,3.43E-05,3.79E-05
MGE,replication/recombination/repair,replication/recombination/repair-polC_1,Punta Espinoza,4.86E-05,2.46E-05
MGE,replication/recombination/repair,replication/recombination/repair-polC_1,Rabida,2.35E-05,3.31E-05
MGE,replication/recombination/repair,replication/recombination/repair-priA,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-priA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-priA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-priB,Cabo Douglas,1.79E-05,3.39E-05
MGE,replication/recombination/repair,replication/recombination/repair-priB,Punta Espinoza,5.56E-06,1.93E-05
MGE,replication/recombination/repair,replication/recombination/repair-priB,Rabida,7.86E-06,2.22E-05
MGE,replication/recombination/repair,replication/recombination/repair-priC,Cabo Douglas,3.57E-05,3.87E-05
MGE,replication/recombination/repair,replication/recombination/repair-priC,Punta Espinoza,1.96E-05,3.00E-05
MGE,replication/recombination/repair,replication/recombination/repair-priC,Rabida,7.86E-06,2.22E-05
MGE,replication/recombination/repair,replication/recombination/repair-priM,Cabo Douglas,1.06E-05,2.47E-05
MGE,replication/recombination/repair,replication/recombination/repair-priM,Punta Espinoza,5.06E-06,1.75E-05
MGE,replication/recombination/repair,replication/recombination/repair-priM,Rabida,9.60E-06,2.72E-05
MGE,replication/recombination/repair,replication/recombination/repair-PSLT051,Cabo Douglas,4.49E-05,3.57E-05
MGE,replication/recombination/repair,replication/recombination/repair-PSLT051,Punta Espinoza,3.21E-05,2.93E-05
MGE,replication/recombination/repair,replication/recombination/repair-PSLT051,Rabida,3.96E-05,3.35E-05
MGE,replication/recombination/repair,replication/recombination/repair-rad50,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-rad50,Punta Espinoza,1.34E-05,2.47E-05
MGE,replication/recombination/repair,replication/recombination/repair-rad50,Rabida,8.51E-06,2.41E-05
MGE,replication/recombination/repair,replication/recombination/repair-radA,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-radA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-radA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-radC,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-radC,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-radC,Rabida,5.62E-05,2.38E-05
MGE,replication/recombination/repair,replication/recombination/repair-rarA,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-rarA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rarA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rdgB,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-rdgB,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rdgB,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rdgC,Cabo Douglas,3.11E-05,3.93E-05
MGE,replication/recombination/repair,replication/recombination/repair-rdgC,Punta Espinoza,1.88E-05,2.82E-05
MGE,replication/recombination/repair,replication/recombination/repair-rdgC,Rabida,2.50E-05,3.50E-05
MGE,replication/recombination/repair,replication/recombination/repair-recA,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-recA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-recA_1,Cabo Douglas,5.48E-06,1.90E-05
MGE,replication/recombination/repair,replication/recombination/repair-recA_1,Punta Espinoza,0,0
MGE,replication/recombination/repair,replication/recombination/repair-recA_1,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-recB,Cabo Douglas,5.19E-05,3.37E-05
MGE,replication/recombination/repair,replication/recombination/repair-recB,Punta Espinoza,4.79E-05,2.43E-05
MGE,replication/recombination/repair,replication/recombination/repair-recB,Rabida,3.96E-05,3.35E-05
MGE,replication/recombination/repair,replication/recombination/repair-recC,Cabo Douglas,4.86E-05,3.26E-05
MGE,replication/recombination/repair,replication/recombination/repair-recC,Punta Espinoza,5.34E-05,1.95E-05
MGE,replication/recombination/repair,replication/recombination/repair-recC,Rabida,4.04E-05,3.41E-05
MGE,replication/recombination/repair,replication/recombination/repair-recD,Cabo Douglas,5.19E-05,3.37E-05
MGE,replication/recombination/repair,replication/recombination/repair-recD,Punta Espinoza,4.75E-05,2.37E-05
MGE,replication/recombination/repair,replication/recombination/repair-recD,Rabida,2.60E-05,3.60E-05
MGE,replication/recombination/repair,replication/recombination/repair-recE,Cabo Douglas,5.48E-06,1.90E-05
MGE,replication/recombination/repair,replication/recombination/repair-recE,Punta Espinoza,1.37E-05,2.52E-05
MGE,replication/recombination/repair,replication/recombination/repair-recE,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-recE_1,Cabo Douglas,3.31E-05,3.71E-05
MGE,replication/recombination/repair,replication/recombination/repair-recE_1,Punta Espinoza,2.20E-05,2.74E-05
MGE,replication/recombination/repair,replication/recombination/repair-recE_1,Rabida,8.51E-06,2.41E-05
MGE,replication/recombination/repair,replication/recombination/repair-recE_2,Cabo Douglas,2.36E-05,3.51E-05
MGE,replication/recombination/repair,replication/recombination/repair-recE_2,Punta Espinoza,1.35E-05,2.57E-05
MGE,replication/recombination/repair,replication/recombination/repair-recE_2,Rabida,2.39E-05,3.31E-05
MGE,replication/recombination/repair,replication/recombination/repair-recF,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-recF,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recF,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-recG,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-recG,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recG,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-recJ,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-recJ,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recJ,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-recN,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-recN,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recN,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-recO,Cabo Douglas,3.54E-05,3.29E-05
MGE,replication/recombination/repair,replication/recombination/repair-recO,Punta Espinoza,4.82E-05,2.45E-05
MGE,replication/recombination/repair,replication/recombination/repair-recO,Rabida,3.99E-05,3.37E-05
MGE,replication/recombination/repair,replication/recombination/repair-recQ,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-recQ,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recQ,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-recR,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-recR,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recR,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-recT,Cabo Douglas,6.23E-05,2.32E-05
MGE,replication/recombination/repair,replication/recombination/repair-recT,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recT,Rabida,5.59E-05,2.37E-05
MGE,replication/recombination/repair,replication/recombination/repair-recT_2,Cabo Douglas,3.46E-05,3.81E-05
MGE,replication/recombination/repair,replication/recombination/repair-recT_2,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recT_2,Rabida,4.56E-05,2.85E-05
MGE,replication/recombination/repair,replication/recombination/repair-recU,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-recU,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-recU,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-recX,Cabo Douglas,3.14E-05,3.96E-05
MGE,replication/recombination/repair,replication/recombination/repair-recX,Punta Espinoza,3.35E-05,3.05E-05
MGE,replication/recombination/repair,replication/recombination/repair-recX,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-rep,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-rep,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rep,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rep5,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-rep5,Punta Espinoza,0,0
MGE,replication/recombination/repair,replication/recombination/repair-rep5,Rabida,9.60E-06,2.72E-05
MGE,replication/recombination/repair,replication/recombination/repair-repA,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-repA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-repA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-repA2,Cabo Douglas,2.57E-05,3.87E-05
MGE,replication/recombination/repair,replication/recombination/repair-repA2,Punta Espinoza,1.34E-05,2.47E-05
MGE,replication/recombination/repair,replication/recombination/repair-repA2,Rabida,8.51E-06,2.41E-05
MGE,replication/recombination/repair,replication/recombination/repair-repA4,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-repA4,Punta Espinoza,4.11E-06,1.42E-05
MGE,replication/recombination/repair,replication/recombination/repair-repA4,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-repB,Cabo Douglas,3.16E-05,3.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-repB,Punta Espinoza,2.09E-05,3.13E-05
MGE,replication/recombination/repair,replication/recombination/repair-repB,Rabida,3.29E-05,3.57E-05
MGE,replication/recombination/repair,replication/recombination/repair-repC,Cabo Douglas,4.84E-05,3.24E-05
MGE,replication/recombination/repair,replication/recombination/repair-repC,Punta Espinoza,2.55E-05,2.71E-05
MGE,replication/recombination/repair,replication/recombination/repair-repC,Rabida,2.31E-05,3.20E-05
MGE,replication/recombination/repair,replication/recombination/repair-repE,Cabo Douglas,1.24E-05,2.92E-05
MGE,replication/recombination/repair,replication/recombination/repair-repE,Punta Espinoza,9.67E-06,2.29E-05
MGE,replication/recombination/repair,replication/recombination/repair-repE,Rabida,7.86E-06,2.22E-05
MGE,replication/recombination/repair,replication/recombination/repair-repF,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-repF,Punta Espinoza,9.82E-06,2.30E-05
MGE,replication/recombination/repair,replication/recombination/repair-repF,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-repL,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-repL,Punta Espinoza,3.08E-05,3.31E-05
MGE,replication/recombination/repair,replication/recombination/repair-repL,Rabida,7.56E-06,2.14E-05
MGE,replication/recombination/repair,replication/recombination/repair-repS,Cabo Douglas,7.89E-06,2.73E-05
MGE,replication/recombination/repair,replication/recombination/repair-repS,Punta Espinoza,9.97E-06,2.42E-05
MGE,replication/recombination/repair,replication/recombination/repair-repS,Rabida,9.60E-06,2.72E-05
MGE,replication/recombination/repair,replication/recombination/repair-repX,Cabo Douglas,5.49E-06,1.90E-05
MGE,replication/recombination/repair,replication/recombination/repair-repX,Punta Espinoza,0,0
MGE,replication/recombination/repair,replication/recombination/repair-repX,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-res,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-res,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-res,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-resD,Cabo Douglas,5.98E-06,2.07E-05
MGE,replication/recombination/repair,replication/recombination/repair-resD,Punta Espinoza,0,0
MGE,replication/recombination/repair,replication/recombination/repair-resD,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-resolvase,Cabo Douglas,5.48E-06,1.90E-05
MGE,replication/recombination/repair,replication/recombination/repair-resolvase,Punta Espinoza,9.16E-06,2.15E-05
MGE,replication/recombination/repair,replication/recombination/repair-resolvase,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-rha,Cabo Douglas,4.23E-05,3.39E-05
MGE,replication/recombination/repair,replication/recombination/repair-rha,Punta Espinoza,5.36E-05,1.96E-05
MGE,replication/recombination/repair,replication/recombination/repair-rha,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rmuC,Cabo Douglas,4.89E-05,3.28E-05
MGE,replication/recombination/repair,replication/recombination/repair-rmuC,Punta Espinoza,4.79E-05,2.43E-05
MGE,replication/recombination/repair,replication/recombination/repair-rmuC,Rabida,3.29E-05,3.57E-05
MGE,replication/recombination/repair,replication/recombination/repair-rna,Cabo Douglas,3.43E-05,3.79E-05
MGE,replication/recombination/repair,replication/recombination/repair-rna,Punta Espinoza,2.93E-05,3.15E-05
MGE,replication/recombination/repair,replication/recombination/repair-rna,Rabida,1.64E-05,3.03E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnh,Cabo Douglas,1.12E-05,2.62E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnh,Punta Espinoza,3.70E-06,1.28E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnh,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-rnhA,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnhA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rnhA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rnhB,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnhB,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rnhB,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rnhC,Cabo Douglas,1.15E-05,2.68E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnhC,Punta Espinoza,9.82E-06,2.40E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnhC,Rabida,7.86E-06,2.22E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnj,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnj,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rnj,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rnpA,Cabo Douglas,5.79E-05,2.14E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnpA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rnpA,Rabida,5.52E-05,2.34E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnr,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-rnr,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rnr,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rop,Cabo Douglas,2.24E-05,3.38E-05
MGE,replication/recombination/repair,replication/recombination/repair-rop,Punta Espinoza,2.30E-05,2.95E-05
MGE,replication/recombination/repair,replication/recombination/repair-rop,Rabida,1.61E-05,2.98E-05
MGE,replication/recombination/repair,replication/recombination/repair-rop_2,Cabo Douglas,1.23E-05,2.91E-05
MGE,replication/recombination/repair,replication/recombination/repair-rop_2,Punta Espinoza,1.35E-05,2.57E-05
MGE,replication/recombination/repair,replication/recombination/repair-rop_2,Rabida,7.86E-06,2.22E-05
MGE,replication/recombination/repair,replication/recombination/repair-rph,Cabo Douglas,4.86E-05,3.26E-05
MGE,replication/recombination/repair,replication/recombination/repair-rph,Punta Espinoza,4.79E-05,2.43E-05
MGE,replication/recombination/repair,replication/recombination/repair-rph,Rabida,1.82E-05,3.38E-05
MGE,replication/recombination/repair,replication/recombination/repair-rsv,Cabo Douglas,9.22E-06,2.23E-05
MGE,replication/recombination/repair,replication/recombination/repair-rsv,Punta Espinoza,0,0
MGE,replication/recombination/repair,replication/recombination/repair-rsv,Rabida,8.51E-06,2.41E-05
MGE,replication/recombination/repair,replication/recombination/repair-rusA,Cabo Douglas,5.79E-05,2.14E-05
MGE,replication/recombination/repair,replication/recombination/repair-rusA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-rusA,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-rusA_1,Cabo Douglas,1.57E-05,2.88E-05
MGE,replication/recombination/repair,replication/recombination/repair-rusA_1,Punta Espinoza,3.73E-05,2.86E-05
MGE,replication/recombination/repair,replication/recombination/repair-rusA_1,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-rutA,Cabo Douglas,4.00E-05,3.74E-05
MGE,replication/recombination/repair,replication/recombination/repair-rutA,Punta Espinoza,3.46E-05,3.17E-05
MGE,replication/recombination/repair,replication/recombination/repair-rutA,Rabida,3.08E-05,3.32E-05
MGE,replication/recombination/repair,replication/recombination/repair-rutB,Cabo Douglas,2.54E-05,3.83E-05
MGE,replication/recombination/repair,replication/recombination/repair-rutB,Punta Espinoza,2.52E-05,3.21E-05
MGE,replication/recombination/repair,replication/recombination/repair-rutB,Rabida,1.64E-05,3.03E-05
MGE,replication/recombination/repair,replication/recombination/repair-ruvA,Cabo Douglas,6.01E-05,2.38E-05
MGE,replication/recombination/repair,replication/recombination/repair-ruvA,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-ruvA,Rabida,2.51E-05,3.49E-05
MGE,replication/recombination/repair,replication/recombination/repair-ruvB,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-ruvB,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-ruvB,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-ruvC,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-ruvC,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-ruvC,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-s071,Cabo Douglas,3.54E-05,3.86E-05
MGE,replication/recombination/repair,replication/recombination/repair-s071,Punta Espinoza,3.79E-05,2.87E-05
MGE,replication/recombination/repair,replication/recombination/repair-s071,Rabida,2.60E-05,3.60E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbcB,Cabo Douglas,5.03E-05,3.31E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbcB,Punta Espinoza,2.84E-05,3.04E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbcB,Rabida,2.24E-05,3.12E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbcC,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbcC,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-sbcC,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-sbcD,Cabo Douglas,5.98E-05,2.37E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbcD,Punta Espinoza,5.34E-05,1.95E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbcD,Rabida,5.51E-05,2.33E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbmC,Cabo Douglas,3.31E-05,3.71E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbmC,Punta Espinoza,2.70E-05,3.37E-05
MGE,replication/recombination/repair,replication/recombination/repair-sbmC,Rabida,1.54E-05,2.88E-05
MGE,replication/recombination/repair,replication/recombination/repair-seqA,Cabo Douglas,3.49E-05,3.84E-05
MGE,replication/recombination/repair,replication/recombination/repair-seqA,Punta Espinoza,2.75E-05,2.93E-05
MGE,replication/recombination/repair,replication/recombination/repair-seqA,Rabida,7.56E-06,2.14E-05
MGE,replication/recombination/repair,replication/recombination/repair-smc,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-smc,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-smc,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-smf,Cabo Douglas,0,0
MGE,replication/recombination/repair,replication/recombination/repair-smf,Punta Espinoza,5.29E-06,1.83E-05
MGE,replication/recombination/repair,replication/recombination/repair-smf,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-soj,Cabo Douglas,1.00E-05,2.37E-05
MGE,replication/recombination/repair,replication/recombination/repair-soj,Punta Espinoza,0,0
MGE,replication/recombination/repair,replication/recombination/repair-soj,Rabida,0,0
MGE,replication/recombination/repair,replication/recombination/repair-Soj,Cabo Douglas,3.49E-06,1.21E-05
MGE,replication/recombination/repair,replication/recombination/repair-Soj,Punta Espinoza,0,0
MGE,replication/recombination/repair,replication/recombination/repair-Soj,Rabida,7.86E-06,2.22E-05
MGE,replication/recombination/repair,replication/recombination/repair-soj_1,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-soj_1,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-soj_1,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-soj_2,Cabo Douglas,6.58E-05,1.44E-05
MGE,replication/recombination/repair,replication/recombination/repair-soj_2,Punta Espinoza,5.87E-05,9.90E-06
MGE,replication/recombination/repair,replication/recombination/repair-soj_2,Rabida,6.37E-05,7.26E-06
MGE,replication/recombination/repair,replication/recombination/repair-soj_3,Cabo Douglas,3.49E-06,1.21E-05
MGE,replication/recombination/repair,replication/recombination/repair-soj_3,Punta Espinoza,9.97E-06,2.42E-05
